price,bed,bath,sqft,type,yearbuilt,parking,heating,cooling,area
"$1,295,000",3,null,null,Single Family,1912,Attached Garage,Forced air,"Central, Wall",San Francisco
"$1,495,000",4,null,null,Single Family,1925,Attached Garage,Forced air,Central,San Francisco
"$3,097,000",4,null,null,Single Family,2014,No Data,No Data,No Data,San Francisco
"$1,325,000",2,2,"1,112",Single Family,2020,1 space,No Data,Single Family,San Francisco
"$1,664,567",4,null,null,Single Family,1974,No Data,No Data,No Data,San Francisco
"$2,995,000",4,null,null,Single Family,1937,1 space,Forced air,Central,San Francisco
"$2,100,000",4,null,null,Multi Family,1949,Attached Garage,No Data,No Data,San Francisco
"$1,279,000",2,null,null,Condo,2020,None,Forced air,Central,San Francisco
"$2,100,000","1,751 sqft",null,null,null,null,null,null,null,San Francisco
"$795,000","1,751 sqft",null,null,null,null,null,null,null,San Francisco
"$1,997,000",--,null,null,Multi Family,1910,No Data,No Data,No Data,San Francisco
"$1,325,000",2,2,"1,038",Condo,2020,1 space,No Data,Condo,San Francisco
"$1,399,000",2,null,null,Condo,2014,Attached Garage,No Data,No Data,San Francisco
"$1,325,000",2,2,"1,038",Condo,2020,1 space,Forced air,Condo,San Francisco
"$2,337,230",9,null,null,Single Family,1906,No Data,No Data,No Data,San Francisco
"$1,949,000",3,null,null,Condo,1910,Attached Garage,No Data,No Data,San Francisco
"$2,295,000",--,null,null,Multi Family,1900,4 spaces,No Data,Wall,San Francisco
"$998,000",2,null,null,Condo,1900,Attached Garage,No Data,No Data,San Francisco
"$690,000",1,null,null,Condo,2007,Attached Garage,Gas,Wall,San Francisco
"$1,299,000",2,null,null,Multi Family,1939,No Data,No Data,No Data,San Francisco
"$1,299,000",4,null,null,Multi Family,1939,No Data,No Data,No Data,San Francisco
"$3,090,700",--,null,null,Single Family,1880,No Data,No Data,No Data,San Francisco
"$1,350,000",4,null,null,Multi Family,1907,Attached Garage,Forced air,"Central, Wall",San Francisco
"$649,000","1,751 sqft",null,null,null,null,null,null,null,San Francisco
"$1,315,257",2,null,null,Single Family,1907,No Data,No Data,No Data,San Francisco
"$1,450,000","1,751 sqft",null,null,null,null,null,null,null,San Francisco
"$2,095,000",--,null,null,Multi Family,1900,No Data,No Data,No Data,San Francisco
"$2,350,000",6,null,null,Multi Family,1900,Detached Garage,Forced air,Central,San Francisco
"$995,000",2,null,null,Condo,1913,No Data,Forced air,Central,San Francisco
"$1,250,000",2,2,"1,400",Cooperative,1961,Attached Garage,Forced air,Central,San Francisco
"$929,000",1,null,null,Condo,1983,1 space,Forced air,Central,San Francisco
"$1,945,586",3,null,null,Condo,1992,1 space,Forced air,Central,San Francisco
"$187,620",1,1,914,Condo,1924,None,Forced air,Central,San Francisco
"$13,800,000",6,null,null,Single Family,1900,Attached Garage,Baseboard,No Data,San Francisco
"$1,968,888",2,null,null,Condo,1983,Attached Garage,Forced air,Central,San Francisco
"$699,000",1,null,null,Condo,1910,None,No Data,No Data,San Francisco
"$1,065,000",1,null,null,Condo,2007,No Data,No Data,No Data,San Francisco
"$10,950,000",6,null,null,Single Family,1914,2 spaces,Forced air,Central,San Francisco
"$659,000",2,1,567,Condo,2007,1 space,Baseboard,No Data,San Francisco
"$1,249,000",1,null,null,Condo,1907,1 space,Forced air,Central,San Francisco
"$998,000",2,null,null,Single Family,1946,Carport,Forced air,Central,San Francisco
"$1,295,000",2,null,null,Condo,2017,No Data,Forced air,Central,San Francisco
"$1,017,272",--,null,null,Single Family,1950,No Data,No Data,No Data,San Francisco
"$1,046,644",--,null,null,Single Family,1954,No Data,No Data,No Data,San Francisco
"$1,081,103",3,null,null,Single Family,1923,No Data,No Data,No Data,San Francisco
"$1,046,211",--,null,null,Single Family,1946,No Data,No Data,No Data,San Francisco
"$975,529",2,null,null,Single Family,1914,No Data,No Data,No Data,San Francisco
"$1,375,000",3,null,null,Single Family,1917,No Data,Forced air,None,San Francisco
"$1,147,323",2,null,null,Single Family,1951,No Data,No Data,No Data,San Francisco
"$1,500,000",3,2,"2,337",Single Family,1923,Attached Garage,Forced air,None,San Francisco
"$799,998",--,1,"1,132",Single Family,1957,2 spaces,Gas,None,San Francisco
"$1,849,000",3,null,null,Single Family,1922,"Carport, Attached Garage",Forced air,Central,San Francisco
"$1,393,444",--,null,null,Single Family,1940,No Data,No Data,No Data,San Francisco
"$998,000",2,null,null,Single Family,1925,Attached Garage,Forced air,Central,San Francisco
"$1,067,507",3,null,null,Single Family,1926,No Data,No Data,No Data,San Francisco
"$995,000",3,2,"1,651",Single Family,1926,1 space,No Data,No Data,San Francisco
"$1,265,606",--,null,null,Single Family,1951,No Data,No Data,No Data,San Francisco
"$831,965",2,null,null,Condo,1979,No Data,No Data,No Data,San Francisco
"$1,153,194",--,null,null,Single Family,1926,No Data,No Data,No Data,San Francisco
"$1,400,000",2,null,null,Single Family,1911,No Data,No Data,No Data,San Francisco
"$1,650,000",3,null,null,Multi Family,1925,No Data,No Data,No Data,San Francisco
"$1,995,000",4,null,null,Single Family,1913,Attached Garage,Forced air,Central,San Francisco
"$1,187,213",2,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$1,077,024",4,null,null,Single Family,1977,Attached Garage,Wall,No Data,San Francisco
"$1,099,000",3,null,null,Single Family,1920,Attached Garage,Gas,No Data,San Francisco
"$869,500",1,2,850,Single Family,1925,1 space,No Data,No Data,San Francisco
"$1,391,411",6,null,null,Single Family,1953,No Data,No Data,No Data,San Francisco
"$1,358,309",4,null,null,Single Family,1935,Carport,No Data,No Data,San Francisco
"$1,190,000",3,1,950,Single Family,1925,1 space,Gas,None,San Francisco
"$995,000",4,null,null,Single Family,1927,Attached Garage,Forced air,Central,San Francisco
"$1,004,964",--,null,null,Single Family,1926,No Data,No Data,No Data,San Francisco
"$974,370",4,null,null,Single Family,1942,No Data,No Data,No Data,San Francisco
"$999,000",2,null,null,Single Family,1947,1 space,Forced air,None,San Francisco
"$1,172,177",--,null,null,Single Family,1960,No Data,No Data,No Data,San Francisco
"$1,577,699",--,null,null,Single Family,1928,No Data,No Data,No Data,San Francisco
"$1,472,385",--,null,null,Single Family,1921,No Data,No Data,No Data,San Francisco
"$930,000",3,3,"1,473",Multi Family,1905,1 space,Forced air,Central,San Francisco
"$1,021,347",2,null,null,Single Family,1925,No Data,No Data,No Data,San Francisco
"$1,070,063",3,3,"1,430",Single Family,1910,No Data,No Data,No Data,San Francisco
"$1,050,000",4,null,null,Single Family,1927,Attached Garage,Forced air,Central,San Francisco
"$950,000",5,null,null,Multi Family,1917,No Data,No Data,No Data,San Francisco
"$1,399,000",4,null,null,Multi Family,1987,Attached Garage,Forced air,Central,San Francisco
"$940,561",3,null,null,Single Family,1946,1 space,Radiant,Other,San Francisco
"$971,133",--,null,null,Single Family,1900,No Data,No Data,No Data,San Francisco
"$971,403",--,null,null,Single Family,1927,No Data,No Data,No Data,San Francisco
"$1,550,000",4,2,"2,000",Multi Family,1906,No Data,No Data,No Data,San Francisco
"$549,000",1,null,null,Condo,1982,No Data,Forced air,None,San Francisco
"$1,043,215",--,null,null,Single Family,1963,No Data,No Data,No Data,San Francisco
"$850,000",2,null,null,Single Family,1947,Attached Garage,Forced air,Central,San Francisco
"$800,000",2,null,null,Single Family,1906,Detached Garage,No Data,No Data,San Francisco
"$1,300,000",5,null,null,Single Family,1911,Carport,Gas,No Data,San Francisco
